Designator,Mid X,Mid Y,Rotation,Layer
D1,159.25,-60.8,90.0,top
D2,178.2,-60.85,90.0,top
D3,197.45,-60.85,90.0,top
D4,207.225,-59.45,270.0,top
D5,159.2,-79.85,90.0,top
D6,178.2,-79.85,90.0,top
D7,197.25,-79.9,90.0,top
D8,207.175,-70.425,270.0,top
D9,207.05,-80.975,270.0,top
R1,202.05,-60.375,90.0,top
R2,202.0,-71.24,90.0,top
R3,201.975,-81.84,90.0,top
SW1,149.61,-59.54,0.0,top
SW13,202.825,-35.675,90.0,top
SW2,168.65,-59.555,0.0,top
SW3,187.8,-59.6,0.0,top
SW5,149.66,-78.58,0.0,top
SW6,168.65,-78.6,0.0,top
SW7,187.76,-78.63,0.0,top
U1,160.48,-35.97,90.0,top
